insert_freq,delete_freq,search_freq,need_order,unique_keys,access_by_key,best_structure
high,high,low,True,False,True,PriorityQueue
low,low,high,True,False,True,BinaryTree
medium,medium,low,True,True,False,PriorityQueue
medium,low,low,True,False,False,Set
low,high,high,False,False,False,Queue
low,low,high,True,True,True,BinaryTree
low,medium,medium,True,False,True,BinaryTree
low,low,low,True,True,False,PriorityQueue
medium,medium,low,True,True,True,PriorityQueue
low,low,low,False,True,False,PriorityQueue
medium,high,high,True,True,False,BinaryTree
high,high,high,False,False,False,Set
medium,low,high,True,True,False,BinaryTree
medium,medium,high,True,True,False,BinaryTree
high,medium,medium,False,False,True,PriorityQueue
high,high,low,False,False,True,PriorityQueue
high,medium,low,True,False,False,Set
high,low,high,True,False,True,BinaryTree
medium,medium,low,False,True,False,PriorityQueue
high,high,low,True,True,False,PriorityQueue
medium,medium,medium,False,True,True,PriorityQueue
medium,low,low,False,True,True,PriorityQueue
medium,medium,low,True,True,True,PriorityQueue
low,high,low,False,True,False,Queue
medium,low,high,True,True,False,BinaryTree
medium,high,high,False,False,True,HashTable
medium,low,medium,False,False,False,Set
low,high,medium,False,True,True,Queue
high,low,low,True,False,False,Stack
medium,medium,medium,True,False,True,BinaryTree
low,high,low,False,False,False,Queue
low,high,low,True,True,True,Queue
medium,low,medium,True,False,True,BinaryTree
high,medium,medium,False,True,True,PriorityQueue
low,high,medium,False,False,True,Queue
high,high,low,True,False,False,Set
medium,medium,low,False,False,True,PriorityQueue
high,high,medium,False,True,False,PriorityQueue
high,high,high,True,True,True,BinaryTree
medium,high,medium,False,False,False,Set
high,low,medium,False,False,True,Stack
high,medium,medium,False,False,True,PriorityQueue
high,high,high,False,False,False,Set
high,medium,medium,False,False,False,Set
high,high,low,False,True,False,PriorityQueue
low,medium,low,False,False,False,Set
low,medium,high,True,False,True,BinaryTree
high,medium,low,True,True,False,PriorityQueue
low,medium,medium,False,True,False,PriorityQueue
high,high,low,False,False,False,Set
high,high,low,True,False,False,Set
medium,high,high,False,False,False,Set
medium,medium,high,True,False,False,BinaryTree
high,low,low,False,True,False,Stack
high,low,low,True,False,False,Stack
medium,medium,low,False,False,True,PriorityQueue
high,low,low,True,False,False,Stack
medium,medium,low,True,True,True,PriorityQueue
low,high,high,True,False,False,BinaryTree
high,low,low,True,False,True,Stack
medium,high,high,False,False,False,Set
high,medium,low,True,True,False,PriorityQueue
low,high,medium,True,True,False,BinaryTree
medium,medium,medium,False,False,False,Set
medium,low,medium,True,False,True,BinaryTree
high,medium,low,False,True,False,PriorityQueue
high,low,medium,True,False,False,BinaryTree
low,high,high,True,True,False,BinaryTree
medium,high,low,True,False,True,PriorityQueue
low,low,high,False,False,True,HashTable
medium,medium,high,False,False,False,Set
high,medium,low,True,False,True,PriorityQueue
medium,medium,medium,False,True,True,PriorityQueue
high,high,low,False,False,True,PriorityQueue
low,medium,medium,True,True,True,BinaryTree
low,low,high,False,False,False,Set
medium,low,low,True,True,False,PriorityQueue
medium,high,medium,True,False,True,BinaryTree
high,high,high,True,True,False,BinaryTree
high,medium,medium,True,True,True,BinaryTree
low,high,medium,False,False,False,Queue
high,medium,low,False,False,False,Set
low,high,medium,False,True,True,Queue
medium,high,high,True,True,False,BinaryTree
low,low,high,False,True,True,HashTable
medium,high,medium,False,True,True,PriorityQueue
high,medium,medium,False,False,False,Set
low,medium,low,False,True,True,PriorityQueue
high,medium,low,False,False,True,PriorityQueue
low,medium,medium,False,False,True,PriorityQueue
high,medium,medium,True,False,True,BinaryTree
high,high,low,False,False,True,PriorityQueue
medium,high,low,True,True,False,PriorityQueue
high,medium,low,False,True,True,PriorityQueue
medium,medium,medium,False,True,True,PriorityQueue
low,high,high,False,False,True,HashTable
low,high,low,True,False,False,Queue
low,low,low,False,True,True,PriorityQueue
high,high,low,False,False,True,PriorityQueue
high,low,high,True,False,True,BinaryTree
medium,medium,high,False,False,False,Set
low,medium,high,True,True,False,BinaryTree
medium,low,low,False,False,True,PriorityQueue
high,low,medium,True,True,False,BinaryTree
medium,high,high,True,True,True,BinaryTree
high,high,medium,True,False,False,BinaryTree
medium,low,medium,False,False,False,Set
high,low,high,True,False,True,BinaryTree
medium,high,low,True,False,True,PriorityQueue
high,low,low,True,True,True,Stack
medium,medium,high,True,False,True,BinaryTree
low,low,medium,False,False,False,Set
low,low,high,False,False,True,HashTable
low,low,low,True,True,True,PriorityQueue
high,medium,medium,False,True,False,PriorityQueue
low,medium,high,False,False,False,Set
high,low,low,True,True,False,Stack
high,medium,high,False,False,True,HashTable
high,medium,high,True,True,True,BinaryTree
low,medium,medium,True,True,True,BinaryTree
medium,low,low,False,False,False,Set
medium,medium,high,True,False,False,BinaryTree
low,low,high,False,False,True,HashTable
medium,high,high,False,False,False,Set
medium,high,low,False,True,True,PriorityQueue
medium,low,high,True,False,True,BinaryTree
high,medium,low,True,False,True,PriorityQueue
medium,medium,medium,True,False,False,BinaryTree
high,medium,medium,False,True,False,PriorityQueue
high,medium,medium,True,True,False,BinaryTree
low,medium,low,True,True,True,PriorityQueue
low,low,low,True,False,False,Set
high,medium,high,True,False,False,BinaryTree
medium,medium,medium,True,True,True,BinaryTree
medium,medium,medium,False,True,True,PriorityQueue
high,low,high,True,False,True,BinaryTree
medium,low,low,False,False,False,Set
high,medium,medium,False,True,True,PriorityQueue
medium,high,high,False,False,False,Set
medium,low,low,True,False,True,PriorityQueue
low,high,low,False,True,False,Queue
low,low,high,False,False,False,Set
high,high,medium,False,False,True,PriorityQueue
high,medium,medium,False,False,False,Set
medium,high,high,True,False,False,BinaryTree
medium,high,medium,True,True,True,BinaryTree
medium,medium,high,False,True,True,HashTable
low,medium,high,True,True,False,BinaryTree
medium,high,low,False,False,True,PriorityQueue
low,medium,medium,False,False,False,Set
high,low,high,True,True,False,BinaryTree
high,high,medium,False,False,True,PriorityQueue
medium,high,low,False,False,False,Set
medium,low,high,False,False,False,Set
low,high,medium,False,False,True,Queue
high,medium,high,True,False,False,BinaryTree
medium,low,medium,False,True,True,PriorityQueue
medium,low,high,True,True,True,BinaryTree
low,medium,high,False,False,True,HashTable
low,medium,low,True,False,True,PriorityQueue
low,high,low,False,True,True,Queue
medium,medium,high,False,False,False,Set
medium,medium,medium,False,False,False,Set
high,medium,low,True,True,False,PriorityQueue
medium,medium,medium,False,True,True,PriorityQueue
high,high,medium,True,True,True,BinaryTree
high,high,low,True,False,False,Set
low,high,medium,False,False,False,Queue
medium,low,low,False,True,False,PriorityQueue
low,medium,medium,False,True,False,PriorityQueue
high,low,low,True,False,False,Stack
high,high,medium,True,False,False,BinaryTree
medium,medium,low,False,True,True,PriorityQueue
low,low,low,True,False,False,Set
medium,medium,medium,False,False,True,PriorityQueue
high,low,high,True,True,True,BinaryTree
high,low,medium,False,False,False,Stack
low,high,medium,True,False,False,BinaryTree
low,medium,high,False,True,True,HashTable
medium,low,low,False,False,False,Set
medium,low,high,True,True,False,BinaryTree
low,medium,medium,False,True,False,PriorityQueue
high,medium,high,False,False,True,HashTable
high,high,medium,True,False,False,BinaryTree
medium,high,medium,False,True,True,PriorityQueue
medium,low,medium,False,False,False,Set
high,high,medium,False,True,False,PriorityQueue
high,medium,high,True,True,True,BinaryTree
medium,medium,low,True,False,False,Set
medium,low,medium,False,False,True,PriorityQueue
medium,low,low,True,False,False,Set
low,high,medium,True,True,False,BinaryTree
medium,medium,high,False,False,True,HashTable
low,medium,low,False,False,True,PriorityQueue
low,medium,low,True,True,True,PriorityQueue
medium,high,medium,True,False,True,BinaryTree
low,high,medium,False,True,False,Queue
high,medium,low,False,False,False,Set
high,medium,low,True,False,True,PriorityQueue
low,medium,low,True,False,True,PriorityQueue
low,high,medium,True,True,True,BinaryTree
medium,low,low,True,False,True,PriorityQueue
medium,medium,high,False,True,True,HashTable
high,low,low,True,True,True,Stack
high,medium,low,False,True,True,PriorityQueue
medium,high,high,True,True,True,BinaryTree
high,high,medium,True,False,True,BinaryTree
high,low,low,True,True,True,Stack
medium,high,medium,True,True,False,BinaryTree
high,medium,low,False,False,True,PriorityQueue
high,high,low,True,True,False,PriorityQueue
low,low,low,False,True,False,PriorityQueue
medium,high,medium,False,True,True,PriorityQueue
medium,medium,low,False,False,True,PriorityQueue
low,medium,medium,False,True,False,PriorityQueue
medium,high,low,False,True,False,PriorityQueue
low,high,low,False,True,False,Queue
high,medium,medium,True,True,False,BinaryTree
